case_id,interaction_id,interaction_type,representante,int_date
0032,001132,rep_case_closed,ggutierrez,2020-05-08
0033,001133,user_recontact,,2020-11-05
0034,001134,user_contact,,2020-09-13
0035,001135,rep_response,pcruz,2020-08-10
0036,001136,rep_response,pcruz,2020-09-22
0037,001137,user_recontact,,2020-01-07
0038,001138,rep_response,pcruz,2020-09-30
0039,001139,user_contact,,2020-06-02
0040,001140,rep_case_closed,mramirez,2020-05-04
0041,001141,rep_case_closed,mramirez,2020-03-14
0042,001142,user_contact,,2020-10-27
0043,001143,rep_case_closed,jperez,2020-07-15
0044,001144,user_recontact,,2020-04-27
0045,001145,rep_response,jperez,2020-07-23
0046,001146,user_contact,,2020-07-24
0047,001147,user_recontact,,2020-05-16
0048,001148,user_contact,,2020-06-16
0049,001149,rep_derivation,slopez,2020-04-15
0050,001150,user_recontact,,2020-08-18
0051,001151,rep_derivation,dtorres,2020-07-20
0052,001152,user_recontact,,2020-08-22
0053,001153,user_contact,,2020-10-15
0054,001154,rep_response,ggutierrez,2020-03-03
0055,001155,rep_response,ggutierrez,2020-07-29
0056,001156,rep_response,ggutierrez,2020-11-15
0057,001157,user_recontact,,2020-11-14
0058,001158,survey_sent,ggutierrez,2020-07-21
0059,001159,user_recontact,,2020-05-13
0060,001160,rep_derivation,slopez,2020-09-04
0061,001161,user_contact,,2020-11-05
0062,001162,rep_case_closed,dtorres,2020-04-21
0063,001163,rep_case_closed,dtorres,2020-11-27
0064,001164,rep_derivation,jperez,2020-06-27
0065,001165,rep_derivation,mramirez,2020-03-21
0066,001166,user_recontact,,2020-03-31
0067,001167,user_contact,,2020-09-02
0068,001168,rep_derivation,pcruz,2020-03-16
0069,001169,user_recontact,,2020-02-09
0070,001170,survey_sent,mramirez,2020-10-30
0071,001171,rep_derivation,dtorres,2020-01-25
0072,001172,user_recontact,,2020-03-14
0073,001173,rep_derivation,dtorres,2020-10-16
0074,001174,rep_derivation,mramirez,2020-07-16
0075,001175,user_recontact,,2020-01-11
0076,001176,user_recontact,,2020-05-03
0077,001177,user_contact,,2020-02-19
0078,001178,rep_case_closed,mramirez,2020-08-15
0079,001179,rep_case_closed,dtorres,2020-03-01
0080,001180,survey_sent,pcruz,2020-06-23
0081,001181,user_contact,,2020-10-06
0082,001182,user_contact,,2020-02-25
0083,001183,rep_case_closed,slopez,2020-12-10
0084,001184,survey_sent,ggutierrez,2020-10-02
0085,001185,rep_case_closed,pcruz,2020-02-01
0086,001186,rep_response,slopez,2020-08-14
0087,001187,rep_response,dtorres,2020-03-05
0088,001188,survey_sent,dtorres,2020-12-05
0089,001189,user_recontact,,2020-12-01
0090,001190,rep_response,ggutierrez,2020-12-17
0091,001191,rep_case_closed,ggutierrez,2020-01-28
0092,001192,rep_case_closed,pcruz,2020-11-28
0093,001193,user_contact,,2020-03-18
0094,001194,rep_response,pcruz,2020-04-01
0095,001195,rep_response,mramirez,2020-10-11
0096,001196,rep_derivation,dtorres,2020-07-02
0097,001197,rep_response,jperez,2020-09-09
0098,001198,rep_derivation,dtorres,2020-10-12
0099,001199,user_contact,,2020-03-05
0100,001200,rep_response,pcruz,2020-06-05
0101,001201,rep_response,pcruz,2020-01-14
0102,001202,user_recontact,,2020-12-01
0103,001203,user_recontact,,2020-03-25
0104,001204,rep_derivation,jperez,2020-07-13
0105,001205,user_contact,,2020-12-05
0106,001206,user_contact,,2020-01-28
0107,001207,user_contact,,2020-07-27
0108,001208,rep_derivation,pcruz,2020-09-19
0109,001209,rep_response,pcruz,2020-04-08
0110,001210,user_recontact,,2020-07-05
0111,001211,survey_sent,pcruz,2020-08-16
0112,001212,rep_case_closed,pcruz,2020-01-02
0113,001213,user_contact,,2020-03-11
0114,001214,rep_response,pcruz,2020-02-26
0115,001215,user_contact,,2020-11-07
0116,001216,rep_response,ggutierrez,2020-11-22
0117,001217,rep_derivation,jperez,2020-01-28
0118,001218,rep_case_closed,mramirez,2020-11-24
0119,001219,rep_response,pcruz,2020-06-23
0120,001220,rep_derivation,jperez,2020-03-25
0121,001221,user_recontact,,2020-08-25
0122,001222,rep_response,dtorres,2020-10-23
0123,001223,rep_response,slopez,2020-02-19
0124,001224,user_contact,,2020-07-18
0125,001225,user_contact,,2020-12-17
0126,001226,rep_derivation,jperez,2020-05-11
0127,001227,rep_case_closed,pcruz,2020-12-31
0128,001228,user_recontact,,2020-12-31
0129,001229,user_recontact,,2020-11-03
0130,001230,rep_response,dtorres,2020-08-18
0131,001231,user_contact,,2020-09-15
0132,001232,rep_response,ggutierrez,2020-11-10
0133,001233,rep_derivation,ggutierrez,2020-05-08
0134,001234,user_recontact,,2020-01-30
0135,001235,rep_response,jperez,2020-06-06
0136,001236,user_recontact,,2020-11-25
0137,001237,user_recontact,,2020-06-06
0138,001238,rep_case_closed,pcruz,2020-05-19
0139,001239,rep_derivation,mramirez,2020-11-15
0140,001240,rep_response,slopez,2020-01-08
0141,001241,user_recontact,,2020-02-06
0142,001242,survey_sent,dtorres,2020-12-25
0143,001243,survey_sent,dtorres,2020-09-14
0144,001244,user_recontact,,2020-05-07
0145,001245,user_contact,,2020-07-14
0146,001246,survey_sent,slopez,2020-08-15
0147,001247,user_recontact,,2020-09-08
0148,001248,rep_case_closed,pcruz,2020-02-16
0149,001249,rep_case_closed,jperez,2020-04-22
0150,001250,rep_response,pcruz,2020-08-12
0151,001251,user_contact,,2020-06-25
0152,001252,survey_sent,mramirez,2020-12-15
0153,001253,rep_derivation,dtorres,2020-10-30
0154,001254,rep_case_closed,mramirez,2020-07-28
0155,001255,rep_derivation,jperez,2020-12-18
0156,001256,survey_sent,jperez,2020-11-22
0157,001257,rep_case_closed,jperez,2020-10-11
0158,001258,survey_sent,ggutierrez,2020-03-08
0159,001259,survey_sent,jperez,2020-11-10
0160,001260,user_contact,,2020-02-01
0161,001261,survey_sent,ggutierrez,2020-08-09
0162,001262,user_recontact,,2020-01-03
0163,001263,survey_sent,ggutierrez,2020-04-26
0164,001264,rep_derivation,ggutierrez,2020-09-10
0165,001265,user_contact,,2020-06-15
0166,001266,rep_response,ggutierrez,2020-05-07
0167,001267,rep_derivation,dtorres,2020-01-16
0168,001268,survey_sent,jperez,2020-04-27
0169,001269,rep_derivation,dtorres,2020-02-24
0170,001270,rep_response,ggutierrez,2020-10-04
0171,001271,rep_derivation,pcruz,2020-08-13
0172,001272,rep_response,ggutierrez,2020-03-14
0173,001273,user_contact,,2020-11-09
0174,001274,user_recontact,,2020-11-30
0175,001275,user_recontact,,2020-10-28
0176,001276,user_contact,,2020-10-06
0177,001277,user_recontact,,2020-05-25
0178,001278,user_recontact,,2020-01-05
0179,001279,user_contact,,2020-10-16
0180,001280,rep_case_closed,jperez,2020-05-11
0181,001281,rep_case_closed,dtorres,2020-03-20
