survey_id,case_id,nps_score,ps_comment
002,0032,7,
003,0033,6,
004,0034,10,
005,0035,0,No cumplieron mis expectativas
006,0036,5,No me gusto nada
007,0037,7,Aceptable
008,0038,2,
009,0039,7,
010,0040,0,
011,0041,8,Aceptable
012,0042,9,Sobresaliente
013,0043,8,
014,0044,8,
015,0045,5,No me gusto nada
016,0046,7,Podria mejorar
017,0047,0,
018,0048,6,No me gusto nada
019,0049,9,
020,0050,5,
021,0051,8,
022,0052,9,Sobresaliente
023,0053,10,Excelente
024,0054,9,Recomendaria sin duda
025,0055,10,
026,0056,10,Excelente
027,0057,8,
028,0058,9,
029,0059,7,Aceptable
030,0060,0,
031,0061,6,
032,0062,6,
033,0063,7,Podria mejorar
034,0064,5,No me gusto nada
035,0065,1,Deficiente
036,0066,10,
037,0067,8,Aceptable
038,0068,8,
039,0069,2,
040,0070,9,
041,0071,8,
042,0072,6,
043,0073,8,"Satisfactorio, pero hay aspectos a mejorar"
044,0074,1,No me gusto nada
045,0075,10,
046,0076,4,No me gusto nada
047,0077,7,
048,0078,8,
049,0079,9,Sobresaliente
050,0080,4,No cumplieron mis expectativas
051,0081,10,
052,0082,9,Sobresaliente
053,0083,5,No cumplieron mis expectativas
054,0084,3,No cumplieron mis expectativas
055,0085,2,No me gusto nada
056,0086,7,"Satisfactorio, pero hay aspectos a mejorar"
057,0087,8,
058,0088,2,
059,0089,9,
060,0090,9,Excelente
061,0091,3,
062,0092,5,No cumplieron mis expectativas
063,0093,7,Podria mejorar
064,0094,5,
065,0095,0,Deficiente
066,0096,8,Podria mejorar
067,0097,8,Podria mejorar
068,0098,5,Deficiente
069,0099,9,Sobresaliente
070,0100,8,
071,0101,6,No me gusto nada
072,0102,0,No me gusto nada
073,0103,9,Recomendaria sin duda
074,0104,2,Deficiente
075,0105,4,
076,0106,6,
077,0107,10,
078,0108,2,No cumplieron mis expectativas
079,0109,9,Recomendaria sin duda
080,0110,10,
081,0111,9,
082,0112,9,
083,0113,10,Excelente
084,0114,1,No cumplieron mis expectativas
085,0115,7,
086,0116,10,
087,0117,3,
088,0118,9,Recomendaria sin duda
089,0119,10,Sobresaliente
090,0120,5,No cumplieron mis expectativas
091,0121,10,Recomendaria sin duda
092,0122,9,
093,0123,7,"Satisfactorio, pero hay aspectos a mejorar"
094,0124,10,
095,0125,8,
096,0126,1,
097,0127,8,Podria mejorar
098,0128,10,Sobresaliente
099,0129,3,
100,0130,7,
101,0131,2,No cumplieron mis expectativas
102,0132,9,Recomendaria sin duda
103,0133,7,"Satisfactorio, pero hay aspectos a mejorar"
104,0134,1,No me gusto nada
105,0135,4,
106,0136,9,Recomendaria sin duda
107,0137,7,Podria mejorar
108,0138,1,No me gusto nada
109,0139,7,
110,0140,9,
111,0141,8,Podria mejorar
112,0142,8,
113,0143,8,
114,0144,2,Deficiente
115,0145,8,
116,0146,9,Sobresaliente
117,0147,9,Recomendaria sin duda
118,0148,8,
119,0149,8,"Satisfactorio, pero hay aspectos a mejorar"
120,0150,2,No cumplieron mis expectativas
121,0151,3,
122,0152,9,
123,0153,3,
124,0154,9,Excelente
125,0155,9,Excelente
126,0156,10,
127,0157,8,"Satisfactorio, pero hay aspectos a mejorar"
128,0158,9,
129,0159,7,Podria mejorar
130,0160,10,Sobresaliente
131,0161,4,No cumplieron mis expectativas
132,0162,10,Recomendaria sin duda
133,0163,10,Excelente
134,0164,8,
135,0165,8,Aceptable
136,0166,10,Sobresaliente
137,0167,6,No me gusto nada
138,0168,9,Excelente
139,0169,7,
140,0170,6,No cumplieron mis expectativas
141,0171,9,
142,0172,3,No me gusto nada
143,0173,6,
144,0174,9,Recomendaria sin duda
145,0175,0,No me gusto nada
146,0176,7,"Satisfactorio, pero hay aspectos a mejorar"
147,0177,7,"Satisfactorio, pero hay aspectos a mejorar"
148,0178,8,
149,0179,5,
150,0180,7,Podria mejorar
151,0181,10,Sobresaliente
152,0182,8,Podria mejorar
153,0183,10,Excelente
154,0184,8,
155,0185,10,Excelente
156,0186,0,No cumplieron mis expectativas
157,0187,10,Excelente
158,0188,10,Sobresaliente
159,0189,6,
160,0190,7,"Satisfactorio, pero hay aspectos a mejorar"
161,0191,8,
162,0192,0,No cumplieron mis expectativas
163,0193,9,Sobresaliente
164,0194,6,Deficiente
165,0195,2,Deficiente
166,0196,2,
167,0197,4,No me gusto nada
168,0198,9,Recomendaria sin duda
169,0199,4,
170,0200,8,
171,0201,8,Podria mejorar
172,0202,10,Excelente
173,0203,8,
174,0204,10,
175,0205,0,No me gusto nada
